test_season,train_start,train_end,train_seasons,is_holdout,game_types
2004,1999,2003,1999 2000 2001 2002 2003,False,REG
2005,1999,2004,1999 2000 2001 2002 2003 2004,False,REG
2006,1999,2005,1999 2000 2001 2002 2003 2004 2005,False,REG
2007,1999,2006,1999 2000 2001 2002 2003 2004 2005 2006,False,REG
2008,1999,2007,1999 2000 2001 2002 2003 2004 2005 2006 2007,False,REG
2009,1999,2008,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008,False,REG
2010,1999,2009,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009,False,REG
2011,1999,2010,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010,False,REG
2012,1999,2011,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011,False,REG
2013,1999,2012,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012,False,REG
2014,1999,2013,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013,False,REG
2015,1999,2014,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014,False,REG
2016,1999,2015,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015,False,REG
2017,1999,2016,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016,False,REG
2018,1999,2017,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,False,REG
2019,1999,2018,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018,False,REG
2020,1999,2019,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019,False,REG
2021,1999,2020,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020,False,REG
2022,1999,2021,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021,False,REG
2023,1999,2022,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022,False,REG
