season,game_id,game_date,home_team_abbrev,away_team_abbrev,home_pregame_streak_signed,away_pregame_streak_signed,home_pregame_last10_points_pct,away_pregame_last10_points_pct,home_pregame_last10_goal_diff_pg,away_pregame_last10_goal_diff_pg,home_pregame_season_points_pct,away_pregame_season_points_pct,home_pregame_season_goal_diff_pg,away_pregame_season_goal_diff_pg,home_pregame_home_points_pct,away_pregame_road_points_pct,home_pregame_rest_days,away_pregame_rest_days,home_back_to_back,away_back_to_back,home_three_in_four,away_three_in_four,home_four_in_six,away_four_in_six,home_pregame_travel_miles,away_pregame_travel_miles,delta_travel_miles_home_minus_away,home_timezone_shift_hours,away_timezone_shift_hours,delta_timezone_shift_hours_home_minus_away,home_pregame_home_stand_len,away_pregame_home_stand_len,home_pregame_road_trip_len,away_pregame_road_trip_len,delta_home_stand_len_home_minus_away,delta_road_trip_len_home_minus_away,rest_days_delta_home_minus_away,home_location_edge_points_pct,home_prior_prev_season_points_pct,away_prior_prev_season_points_pct,home_prior_prev_season_goal_diff_pg,away_prior_prev_season_goal_diff_pg,home_prior_prev_season_games,away_prior_prev_season_games,delta_pregame_last10_points_pct_home_minus_away,delta_pregame_last10_goal_diff_pg_home_minus_away,delta_pregame_season_points_pct_home_minus_away,delta_pregame_season_goal_diff_pg_home_minus_away,home_win,winner_abbrev
20212022,2021020001,2021-10-12,TBL,PIT,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,0,PIT
20212022,2021020002,2021-10-12,VGK,SEA,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,VGK
20212022,2021020003,2021-10-13,TOR,MTL,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,TOR
20212022,2021020004,2021-10-13,WSH,NYR,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,WSH
20212022,2021020005,2021-10-13,COL,CHI,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,COL
20212022,2021020006,2021-10-13,EDM,VAN,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,EDM
20212022,2021020015,2021-10-13,ANA,WPG,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,ANA
20212022,2021020007,2021-10-14,BUF,MTL,0,-1,,0.0,,-1.0,,0.0,,-1.0,,0.0,,0,0,1,0,0,0,0,,58.823313786723595,,,0.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,1,BUF
20212022,2021020008,2021-10-14,OTT,TOR,0,1,,1.0,,1.0,,1.0,,1.0,,,,0,0,1,0,0,0,0,,204.95457786499026,,,0.0,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,OTT
20212022,2021020009,2021-10-14,DET,TBL,0,-1,,0.0,,-4.0,,0.0,,-4.0,,,,1,0,0,0,0,0,0,,995.4106088225304,,,0.0,,1,0,0,1,1,-1,,,,,,,0,0,,,,,0,TBL
20212022,2021020010,2021-10-14,FLA,PIT,0,1,,1.0,,4.0,,1.0,,4.0,,1.0,,1,0,0,0,0,0,0,,179.75619622881382,,,0.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,1,FLA
20212022,2021020011,2021-10-14,NYR,DAL,-1,0,0.0,,-4.0,,0.0,,-4.0,,,,0,,1,0,0,0,0,0,205.3803238430198,,,0.0,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,0,DAL
20212022,2021020012,2021-10-14,CAR,NYI,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,CAR
20212022,2021020013,2021-10-14,CBJ,UTA,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,CBJ
20212022,2021020014,2021-10-14,NSH,SEA,0,-1,,0.0,,-1.0,,0.0,,-1.0,,0.0,,1,0,0,0,0,0,0,,1579.1213865913169,,,2.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,0,SEA
20212022,2021020016,2021-10-14,LAK,VGK,0,1,,1.0,,1.0,,1.0,,1.0,,,,1,0,0,0,0,0,0,,225.29406759586362,,,0.0,,1,0,0,1,1,-1,,,,,,,0,0,,,,,1,LAK
20212022,2021020017,2021-10-15,NJD,CHI,0,-1,,0.0,,-2.0,,0.0,,-2.0,,0.0,,1,0,0,0,0,0,0,,1619.4096449028295,,,2.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,1,NJD
20212022,2021020018,2021-10-15,PHI,VAN,0,-1,,0.0,,-1.0,,0.0,,-1.0,,0.0,,1,0,0,0,0,0,0,,2012.4550020799193,,,2.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,0,VAN
20212022,2021020019,2021-10-15,ANA,MIN,1,0,1.0,,3.0,,1.0,,3.0,,1.0,,1,,0,0,0,0,0,0,0.0,,,0.0,,,2,0,0,1,2,-1,,,,,,,0,0,,,,,0,MIN
20212022,2021020020,2021-10-16,BOS,DAL,0,1,,1.0,,1.0,,1.0,,1.0,,1.0,,1,0,0,0,0,0,0,,188.20963317349978,,,0.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,1,BOS
20212022,2021020021,2021-10-16,BUF,UTA,1,-1,1.0,0.0,4.0,-6.0,1.0,0.0,4.0,-6.0,1.0,0.0,1,1,0,0,0,0,0,0,0.0,293.3378647691541,-293.3378647691541,0.0,0.0,0.0,2,0,0,2,2,-2,0,1.0,,,,,0,0,1.0,10.0,1.0,10.0,1,BUF
20212022,2021020022,2021-10-16,TOR,OTT,-1,1,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,,1,1,0,0,1,0,0,0,204.95457786499026,204.95457786499026,0.0,0.0,0.0,0.0,1,0,0,1,1,-1,0,,,,,,0,0,-0.5,-1.0,-0.5,-1.0,1,TOR
20212022,2021020023,2021-10-16,MTL,NYR,-2,-2,0.0,0.0,-2.5,-2.5,0.0,0.0,-2.5,-2.5,,0.0,1,1,0,0,1,1,0,0,319.17945646606137,328.5781738443747,-9.398717378313336,0.0,0.0,0.0,1,0,0,1,1,-1,0,,,,,,0,0,0.0,0.0,0.0,0.0,0,NYR
20212022,2021020024,2021-10-16,DET,VAN,-1,1,0.0,0.5,-1.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.5,1,0,0,1,0,1,0,0,0.0,443.36462165467236,-443.36462165467236,0.0,0.0,0.0,2,0,0,3,2,-3,1,-0.5,,,,,0,0,-0.5,-1.0,-0.5,-1.0,1,DET
