season,team_id,team_abbreviation,team_name
20252026,5,ANA,Anaheim Ducks
20252026,13,BOS,Boston Bruins
20252026,27,BUF,Buffalo Sabres
20252026,28,CAR,Carolina Hurricanes
20252026,14,CBJ,Columbus Blue Jackets
20252026,16,CGY,Calgary Flames
20252026,15,CHI,Chicago Blackhawks
20252026,11,COL,Colorado Avalanche
20252026,7,DAL,Dallas Stars
20252026,8,DET,Detroit Red Wings
20252026,30,EDM,Edmonton Oilers
20252026,31,FLA,Florida Panthers
20252026,23,LAK,Los Angeles Kings
20252026,26,MIN,Minnesota Wild
20252026,19,MTL,Montréal Canadiens
20252026,2,NJD,New Jersey Devils
20252026,12,NSH,Nashville Predators
20252026,22,NYI,New York Islanders
20252026,21,NYR,New York Rangers
20252026,9,OTT,Ottawa Senators
20252026,29,PHI,Philadelphia Flyers
20252026,18,PIT,Pittsburgh Penguins
20252026,24,SEA,Seattle Kraken
20252026,20,SJS,San Jose Sharks
20252026,6,STL,St. Louis Blues
20252026,17,TBL,Tampa Bay Lightning
20252026,32,TOR,Toronto Maple Leafs
20252026,25,UTA,Utah Mammoth
20252026,4,VAN,Vancouver Canucks
20252026,3,VGK,Vegas Golden Knights
20252026,10,WPG,Winnipeg Jets
20252026,1,WSH,Washington Capitals
