fold_test_season,feature,abs_weight,weight
20212022,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0459734111,-0.0459734111
20212022,delta_pregame_depth_points_share_last5_home_minus_away,0.0359520013,-0.0359520013
20212022,away_gd_volatility_last5,0.0324270272,0.0324270272
20212022,matchup_home_win_rate_prior,0.0316020284,0.0316020284
20212022,delta_pregame_recent_form_volatility_last10_home_minus_away,0.0295234954,-0.0295234954
20212022,delta_pregame_key_contributor_change_rate_last5_home_minus_away,0.0283893495,0.0283893495
20212022,delta_pregame_top4_avg_toi_home_minus_away,0.0257672808,-0.0257672808
20212022,matchup_home_games_prior_log,0.0243919892,0.0243919892
20212022,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0240371784,0.0240371784
20212022,home_pregame_roster_data_coverage_pct,0.020783312,-0.020783312
20212022,home_pregame_roster_games_covered,0.020783312,-0.020783312
20212022,team_vs_opponent_win_rate_prior,0.0205241938,0.0205241938
20212022,home_gd_volatility_last5,0.0196197838,0.0196197838
20212022,delta_pregame_skater_two_way_idx_ewm_home_minus_away,0.0194710036,-0.0194710036
20212022,delta_pregame_roster_quality_idx_home_minus_away,0.0190762656,0.0190762656
20212022,deadline_pressure_edge,0.0180840497,-0.0180840497
20212022,delta_pregame_lineup_continuity_ewm_home_minus_away,0.0176947516,-0.0176947516
20212022,away_pregame_roster_data_coverage_pct,0.0169812987,0.0169812987
20212022,away_pregame_roster_games_covered,0.0169812987,0.0169812987
20212022,delta_pregame_skater_points_pg_last5_home_minus_away,0.0147614935,-0.0147614935
