slice,games,accuracy,error_rate,avg_conf,mean_home_prob,actual_home_rate,calibration_gap
away_low_conf_0.50_0.55,662,0.5090634441087614,0.49093655589123864,0.5245695740181269,0.4754304259818731,0.4909365558912387,0.015506129909365618
low_conf_0.50_0.55,1408,0.5220170454545454,0.4779829545454546,0.5253058735795455,0.5022020980113636,0.5134943181818182,0.011292220170454614
low_conf_0.50_0.60,2620,0.5251908396946565,0.4748091603053435,0.5478027461832061,0.5084014538167939,0.5141221374045801,0.005720683587786213
mid_conf_0.55_0.60,1212,0.5288778877887789,0.47112211221122113,0.5739377268976897,0.5156033457095709,0.5148514851485149,0.000751860561056028
away_b2b,316,0.5379746835443038,0.4620253164556962,0.6036736772151898,0.3963263227848101,0.4620253164556962,0.06569899367088611
away_four_in_six,372,0.5564516129032258,0.44354838709677424,0.6083456317204301,0.3916543682795699,0.4435483870967742,0.05189401881720429
home_four_in_six,532,0.5733082706766918,0.42669172932330823,0.6285362819548872,0.6285362819548872,0.5733082706766918,0.05522801127819543
away_picks,2078,0.575553416746872,0.424446583253128,0.6119532021174205,0.3880467978825794,0.424446583253128,0.03639978537054861
away_three_in_four,395,0.579746835443038,0.42025316455696204,0.6116235848101266,0.3883764151898734,0.42025316455696204,0.03187674936708862
home_three_in_four,431,0.5893271461716937,0.4106728538283063,0.6275798468677495,0.6275798468677495,0.5893271461716937,0.0382527006960558
overall,5248,0.5971798780487805,0.4028201219512195,0.6215919241615854,0.5329338624237805,0.5373475609756098,0.00441369855182927
home_b2b,181,0.6077348066298343,0.39226519337016574,0.6054058342541436,0.6054058342541436,0.6077348066298343,0.00232897237569063
home_picks,3170,0.6113564668769716,0.38864353312302835,0.6279103041009464,0.6279103041009464,0.6113564668769716,0.016553837223974743
