fold_test_season,feature,abs_weight,weight,recency_candidate_id
20172018,delta_pregame_depth_points_share_last5_home_minus_away,0.0768665205,-0.0768665205,single
20172018,roster_continuity_x_opponent_quality,0.0697103446,-0.0697103446,single
20172018,team_vs_opponent_games_prior_log,0.0519629929,0.0519629929,single
20172018,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0429505653,-0.0429505653,single
20172018,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0363197398,0.0363197398,single
20172018,delta_pregame_injury_count_home_minus_away,0.031214971,0.031214971,single
20172018,delta_pregame_goalie_save_pct_home_minus_away,0.0303134416,0.0303134416,single
20172018,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0261487297,-0.0261487297,single
20172018,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.0260151552,0.0260151552,single
20172018,delta_pregame_goalie_starter_quality_gap_last5_home_minus_away,0.0258718274,0.0258718274,single
20172018,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0253686336,-0.0253686336,single
20172018,delta_pregame_top9_points_pg_home_minus_away,0.0231493769,-0.0231493769,single
20172018,delta_pregame_roster_quality_idx_home_minus_away,0.0221331372,0.0221331372,single
20172018,delta_pregame_lineup_change_rate_last5_home_minus_away,0.0212509555,0.0212509555,single
20172018,delta_pregame_goalie_recent_starts_last5_home_minus_away,0.0211234473,-0.0211234473,single
20172018,delta_pregame_skater_points_pg_last5_home_minus_away,0.0209479743,-0.0209479743,single
20172018,away_pregame_roster_data_coverage_pct,0.0177591255,0.0177591255,single
20172018,away_pregame_roster_games_covered,0.0177591255,0.0177591255,single
20172018,matchup_home_games_prior_log,0.0136175648,0.0136175648,single
20172018,home_pregame_roster_data_coverage_pct,0.0124381217,-0.0124381217,single
20212022,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0499608619,-0.0499608619,single
20212022,matchup_home_win_rate_prior,0.0371271276,0.0371271276,single
20212022,delta_pregame_roster_quality_idx_home_minus_away,0.034942931,0.034942931,single
20212022,delta_pregame_goalie_save_pct_home_minus_away,0.029446144,0.029446144,single
20212022,team_vs_opponent_win_rate_prior,0.029321442,0.029321442,single
20212022,home_pregame_roster_data_coverage_pct,0.0261132955,-0.0261132955,single
20212022,home_pregame_roster_games_covered,0.0261132955,-0.0261132955,single
20212022,delta_pregame_injury_count_home_minus_away,0.0258701207,-0.0258701207,single
20212022,delta_pregame_skater_points_pg_last5_home_minus_away,0.0256318352,-0.0256318352,single
20212022,away_pregame_roster_data_coverage_pct,0.0219961022,0.0219961022,single
20212022,away_pregame_roster_games_covered,0.0219961022,0.0219961022,single
20212022,team_vs_opponent_games_prior_log,0.0186683452,-0.0186683452,single
20212022,roster_continuity_x_opponent_quality,0.0173807747,0.0173807747,single
20212022,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0167328551,-0.0167328551,single
20212022,matchup_home_games_prior_log,0.0160828079,0.0160828079,single
20212022,delta_pregame_goalie_starter_quality_gap_last10_home_minus_away,0.0160780027,0.0160780027,single
20212022,delta_pregame_depth_points_share_last5_home_minus_away,0.0148968122,-0.0148968122,single
20212022,delta_pregame_top9_points_pg_home_minus_away,0.0144929787,-0.0144929787,single
20212022,delta_roster_coverage_pct,0.0126674029,-0.0126674029,single
20212022,delta_roster_games_covered,0.0126674029,-0.0126674029,single
20222023,delta_roster_games_covered,0.1474305262,-0.1474305262,single
20222023,delta_roster_coverage_pct,0.0788495361,0.0788495361,single
20222023,home_pregame_roster_data_coverage_pct,0.0549248354,0.0549248354,single
20222023,market_signals_x_model_confidence,0.0532471272,0.0532471272,single
20222023,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.0487651612,0.0487651612,single
20222023,roster_continuity_x_opponent_quality,0.0364920717,-0.0364920717,single
20222023,delta_pregame_lineup_change_rate_last5_home_minus_away,0.0321315562,-0.0321315562,single
20222023,delta_pregame_injury_count_home_minus_away,0.0285532237,-0.0285532237,single
20222023,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0265389682,0.0265389682,single
20222023,delta_pregame_goalie_days_since_last_start_home_minus_away,0.0262088614,-0.0262088614,single
20222023,delta_pregame_lineup_continuity_pct_home_minus_away,0.0233410896,0.0233410896,single
20222023,team_vs_opponent_win_rate_prior,0.0216300596,0.0216300596,single
20222023,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0209630262,0.0209630262,single
20222023,away_pregame_roster_data_coverage_pct,0.018763825,-0.018763825,single
20222023,delta_pregame_depth_points_share_last5_home_minus_away,0.0185941092,-0.0185941092,single
20222023,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0178538228,0.0178538228,single
20222023,delta_pregame_skater_points_pg_last5_home_minus_away,0.0158703694,0.0158703694,single
20222023,home_pregame_roster_games_covered,0.0144046502,-0.0144046502,single
20222023,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0124685682,0.0124685682,single
20222023,delta_pregame_top9_points_pg_home_minus_away,0.0088897216,0.0088897216,single
20232024,delta_roster_games_covered,0.1153800263,-0.1153800263,single
20232024,market_signals_x_model_confidence,0.0751490296,0.0751490296,single
20232024,team_vs_opponent_win_rate_prior,0.0711988055,0.0711988055,single
20232024,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.0687242584,0.0687242584,single
20232024,delta_roster_coverage_pct,0.0591156886,0.0591156886,single
20232024,away_pregame_roster_data_coverage_pct,0.045569129,-0.045569129,single
20232024,delta_pregame_roster_quality_idx_home_minus_away,0.0308039351,0.0308039351,single
20232024,delta_pregame_lineup_continuity_pct_home_minus_away,0.0307587559,0.0307587559,single
20232024,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0266883168,0.0266883168,single
20232024,delta_pregame_lineup_change_rate_last5_home_minus_away,0.0256065335,-0.0256065335,single
20232024,roster_continuity_x_opponent_quality,0.0248183518,-0.0248183518,single
20232024,delta_pregame_goalie_days_since_last_start_home_minus_away,0.0241612998,-0.0241612998,single
20232024,matchup_home_win_rate_prior,0.0206230252,-0.0206230252,single
20232024,away_pregame_roster_games_covered,0.0205784677,0.0205784677,single
20232024,delta_pregame_injury_count_home_minus_away,0.0184797096,-0.0184797096,single
20232024,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0171579904,0.0171579904,single
20232024,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0136563279,0.0136563279,single
20232024,delta_pregame_depth_points_share_last5_home_minus_away,0.0130683375,-0.0130683375,single
20232024,delta_pregame_goalie_starter_quality_gap_last5_home_minus_away,0.0124086643,0.0124086643,single
20232024,home_pregame_roster_data_coverage_pct,0.0122709805,0.0122709805,single
20242025,delta_roster_games_covered,0.2170048693,-0.2170048693,single
20242025,delta_roster_coverage_pct,0.1548778541,0.1548778541,single
20242025,team_vs_opponent_win_rate_prior,0.1187842042,0.1187842042,single
20242025,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.0993196316,0.0993196316,single
20242025,delta_pregame_roster_quality_idx_home_minus_away,0.0926841405,0.0926841405,single
20242025,market_signals_x_model_confidence,0.0878864284,0.0878864284,single
20242025,away_pregame_roster_data_coverage_pct,0.0715928894,-0.0715928894,single
20242025,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0564263708,0.0564263708,single
20242025,delta_pregame_goalie_save_pct_home_minus_away,0.0495341301,-0.0495341301,single
20242025,delta_pregame_lineup_change_rate_last5_home_minus_away,0.047470828,-0.047470828,single
20242025,delta_pregame_lineup_continuity_pct_home_minus_away,0.0462255586,0.0462255586,single
20242025,delta_pregame_skater_points_pg_last5_home_minus_away,0.0424024441,-0.0424024441,single
20242025,delta_pregame_depth_points_share_last5_home_minus_away,0.039672417,-0.039672417,single
20242025,away_pregame_roster_games_covered,0.0356843669,0.0356843669,single
20242025,team_vs_opponent_games_prior_log,0.0317718728,0.0317718728,single
20242025,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0294933544,0.0294933544,single
20242025,delta_pregame_top9_points_pg_home_minus_away,0.0252877066,-0.0252877066,single
20242025,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0219276965,0.0219276965,single
20242025,delta_pregame_goalie_starter_quality_gap_last5_home_minus_away,0.0195068491,0.0195068491,single
20242025,home_pregame_roster_data_coverage_pct,0.0193934936,0.0193934936,single
20252026,delta_roster_games_covered,0.2038841573,-0.2038841573,single
20252026,delta_roster_coverage_pct,0.1435814224,0.1435814224,single
20252026,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.1051899071,0.1051899071,single
20252026,team_vs_opponent_win_rate_prior,0.1026878148,0.1026878148,single
20252026,away_pregame_roster_data_coverage_pct,0.0943445941,-0.0943445941,single
20252026,home_pregame_roster_data_coverage_pct,0.082539683,0.082539683,single
20252026,market_signals_x_model_confidence,0.0796415398,0.0796415398,single
20252026,delta_pregame_roster_quality_idx_home_minus_away,0.0716710982,0.0716710982,single
20252026,team_vs_opponent_games_prior_log,0.0581623425,0.0581623425,single
20252026,delta_pregame_lineup_change_rate_last5_home_minus_away,0.0536318515,-0.0536318515,single
20252026,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0454901822,-0.0454901822,single
20252026,delta_pregame_goalie_save_pct_home_minus_away,0.0367279484,-0.0367279484,single
20252026,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0360499413,0.0360499413,single
20252026,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.033161241,0.033161241,single
20252026,away_pregame_roster_games_covered,0.0324528623,0.0324528623,single
20252026,delta_pregame_depth_points_share_last5_home_minus_away,0.027742335,-0.027742335,single
20252026,delta_pregame_lineup_continuity_pct_home_minus_away,0.0259497224,0.0259497224,single
20252026,home_pregame_roster_games_covered,0.0243882126,-0.0243882126,single
20252026,matchup_home_games_prior_log,0.0238055232,0.0238055232,single
20252026,delta_pregame_skater_points_pg_last5_home_minus_away,0.0211689435,-0.0211689435,single
