feature,mean_abs_weight
delta_roster_coverage_pct,0.0570337
delta_roster_games_covered,0.05512508
delta_injuries,0.04474585
market_consensus_home_prob,0.03240656
team_vs_opponent_win_rate_prior,0.02945864
delta_skater_two_way_last5,0.02786972
roster_continuity_edge,0.02709611
market_signals_x_model_confidence,0.02520539
delta_skater_points_last5,0.02226773
delta_roster_quality,0.01930051
roster_continuity_x_opponent_quality,0.01599923
quality_x_form,0.01470319
team_vs_opponent_games_prior_log,0.01006197
matchup_home_win_rate_prior,0.00921018
delta_goalie_save_pct,0.00813724
goalie_x_continuity,0.00790233
matchup_home_games_prior_log,0.00693439
market_spread_magnitude,0.00427464
market_public_vs_sharp_agreement,0.0011707
home_streak,0.0
away_streak,0.0
delta_last10_points_pct,0.0
delta_last10_goal_diff_pg,0.0
delta_season_points_pct,0.0
delta_season_goal_diff_pg,0.0
home_location_edge_points_pct,0.0
rest_days_delta,0.0
home_back_to_back,0.0
away_back_to_back,0.0
delta_prev_season_points_pct,0.0
delta_prev_season_goal_diff_pg,0.0
min_prev_season_games,0.0
special_teams_x_rest_fatigue,0.0
home_away_x_travel_schedule,0.0
goalie_fidelity_x_back_to_back,0.0
