feature,mean_abs_weight
delta_roster_coverage_pct,0.05871914
delta_roster_games_covered,0.05588396
delta_injuries,0.053858
delta_skater_two_way_last5,0.04148258
team_vs_opponent_win_rate_prior,0.03291348
delta_skater_points_last5,0.0312491
roster_continuity_edge,0.02712033
delta_roster_quality,0.02218164
roster_continuity_x_opponent_quality,0.01761327
delta_goalie_starter_quality_gap_last5,0.01663327
delta_goalie_starter_quality_gap_last5,0.01663327
quality_x_form,0.01624364
delta_goalie_save_pct,0.01209304
goalie_x_continuity,0.01081
matchup_home_win_rate_prior,0.0104564
team_vs_opponent_games_prior_log,0.00965598
delta_goalie_starter_quality_gap_last10,0.00935065
delta_goalie_starter_quality_gap_last10,0.00935065
matchup_home_games_prior_log,0.00681586
home_streak,0.0
away_streak,0.0
delta_last10_points_pct,0.0
delta_last10_goal_diff_pg,0.0
delta_season_points_pct,0.0
delta_season_goal_diff_pg,0.0
home_location_edge_points_pct,0.0
rest_days_delta,0.0
home_back_to_back,0.0
away_back_to_back,0.0
delta_prev_season_points_pct,0.0
delta_prev_season_goal_diff_pg,0.0
min_prev_season_games,0.0
goalie_quality_gap_x_back_to_back,0.0
market_consensus_home_prob,0.0
market_spread_magnitude,0.0
market_public_vs_sharp_agreement,0.0
special_teams_x_rest_fatigue,0.0
home_away_x_travel_schedule,0.0
goalie_fidelity_x_back_to_back,0.0
goalie_quality_gap_x_back_to_back,0.0
market_signals_x_model_confidence,0.0
