model_id,season,season_label,games,accuracy,log_loss,brier_score
logistic_engineered,20232024,2023-2024,1312,0.612805,0.650094,0.229292
logistic_engineered,20242025,2024-2025,1312,0.608232,0.645798,0.227986
logistic_engineered,20252026,2025-2026,1312,0.564024,0.670159,0.239371
improved_roster_aware,20232024,2023-2024,1312,0.617378,0.649656,0.228793
improved_roster_aware,20242025,2024-2025,1312,0.606707,0.64471,0.22759
improved_roster_aware,20252026,2025-2026,1312,0.561738,0.67154,0.24
blend_fixed_50_50,20232024,2023-2024,1312,0.60747,0.648826,0.228596
blend_fixed_50_50,20242025,2024-2025,1312,0.605945,0.645031,0.227679
blend_fixed_50_50,20252026,2025-2026,1312,0.566311,0.670581,0.239563
blend_fixed_55_45,20232024,2023-2024,1312,0.609756,0.648862,0.228625
blend_fixed_55_45,20242025,2024-2025,1312,0.606707,0.645088,0.2277
blend_fixed_55_45,20252026,2025-2026,1312,0.565549,0.670515,0.239533
blend_fixed_60_40,20232024,2023-2024,1312,0.610518,0.648918,0.228663
blend_fixed_60_40,20242025,2024-2025,1312,0.608994,0.645149,0.227723
blend_fixed_60_40,20252026,2025-2026,1312,0.563262,0.670455,0.239505
blend_fixed_65_35,20232024,2023-2024,1312,0.612805,0.648994,0.228711
blend_fixed_65_35,20242025,2024-2025,1312,0.608232,0.645215,0.227749
blend_fixed_65_35,20252026,2025-2026,1312,0.564024,0.670399,0.23948
blend_fixed_70_30,20232024,2023-2024,1312,0.615854,0.649091,0.228767
blend_fixed_70_30,20242025,2024-2025,1312,0.608232,0.645285,0.227776
blend_fixed_70_30,20252026,2025-2026,1312,0.563262,0.670349,0.239457
blend_fold_validated_logistic_improved,20232024,2023-2024,1312,0.60747,0.648826,0.228596
blend_fold_validated_logistic_improved,20242025,2024-2025,1312,0.605945,0.645031,0.227679
blend_fold_validated_logistic_improved,20252026,2025-2026,1312,0.566311,0.670581,0.239563
