recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style
single,blend_logistic_weighted_60_40,20232024,2023-2024,180,0.572222,0.679882,0.243274,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_logistic_weighted_60_40,20242025,2024-2025,180,0.577778,0.657668,0.233225,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_logistic_weighted_60_40,20252026,2025-2026,180,0.538889,0.678619,0.243267,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_logistic_weighted_70_30,20232024,2023-2024,180,0.555556,0.680216,0.243659,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_logistic_weighted_70_30,20242025,2024-2025,180,0.594444,0.654126,0.231582,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_logistic_weighted_70_30,20252026,2025-2026,180,0.544444,0.677868,0.243044,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_logistic_50_50,20232024,2023-2024,180,0.555556,0.678677,0.24292,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_logistic_50_50,20242025,2024-2025,180,0.583333,0.660743,0.234257,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_logistic_50_50,20252026,2025-2026,180,0.527778,0.677364,0.242484,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_weighted_60_40,20232024,2023-2024,180,0.588889,0.681532,0.244174,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_weighted_60_40,20242025,2024-2025,180,0.533333,0.685342,0.246197,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_nonlinear_weighted_60_40,20252026,2025-2026,180,0.511111,0.690567,0.24874,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top2_fixed_50_50__logistic_engineered__weighted_calibrated,20232024,2023-2024,180,0.55,0.680598,0.243285,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top2_fixed_50_50__logistic_engineered__weighted_calibrated,20252026,2025-2026,180,0.527778,0.679974,0.24381,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top2_fixed_50_50__weighted_calibrated__elo_form_tuned,20242025,2024-2025,180,0.511111,0.688218,0.247939,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
