fold_test_season,feature,abs_weight,weight,recency_candidate_id
20232024,delta_roster_games_covered,0.1048614456,-0.1048614456,single
20232024,delta_home_stand_len_home_minus_away,0.0917515816,-0.0917515816,single
20232024,home_three_in_four,0.0915513518,0.0915513518,single
20232024,delta_roster_coverage_pct,0.0897659034,0.0897659034,single
20232024,delta_pregame_roster_turnover_count_home_minus_away,0.0807206968,-0.0807206968,single
20232024,delta_road_trip_len_home_minus_away,0.0717789481,-0.0717789481,single
20232024,delta_pregame_lineup_continuity_pct_home_minus_away,0.0671105052,0.0671105052,single
20232024,away_pregame_roster_data_coverage_pct,0.0637110045,-0.0637110045,single
20232024,away_pregame_streak_signed,0.0609517126,-0.0609517126,single
20232024,home_pregame_roster_games_covered,0.0600921063,-0.0600921063,single
20232024,home_four_in_six,0.0591424527,-0.0591424527,single
20232024,delta_pregame_lineup_change_rate_last5_home_minus_away,0.04916351,-0.04916351,single
20232024,home_location_edge_points_pct,0.0470650073,-0.0470650073,single
20232024,team_vs_opponent_games_prior_log,0.0463183875,0.0463183875,single
20232024,delta_pregame_injury_count_home_minus_away,0.0429469584,-0.0429469584,single
20232024,away_back_to_back,0.0391814753,0.0391814753,single
20232024,delta_pregame_season_goal_diff_pg_home_minus_away,0.0388384841,0.0388384841,single
20232024,delta_pregame_last10_goal_diff_pg_home_minus_away,0.0352733854,0.0352733854,single
20232024,delta_pregame_goalie_save_pct_home_minus_away,0.0351728651,-0.0351728651,single
20232024,away_four_in_six,0.0348667697,-0.0348667697,single
20242025,delta_home_stand_len_home_minus_away,0.0815954598,-0.0815954598,single
20242025,home_pregame_roster_data_coverage_pct,0.0805692949,0.0805692949,single
20242025,home_pregame_roster_games_covered,0.0766797955,-0.0766797955,single
20242025,away_pregame_roster_data_coverage_pct,0.0743637865,-0.0743637865,single
20242025,delta_roster_games_covered,0.0724288369,-0.0724288369,single
20242025,home_three_in_four,0.0655612616,0.0655612616,single
20242025,delta_prev_season_points_pct,0.0554102091,0.0554102091,single
20242025,delta_roster_coverage_pct,0.0518247782,0.0518247782,single
20242025,delta_road_trip_len_home_minus_away,0.0460749849,-0.0460749849,single
20242025,delta_pregame_recent_form_volatility_last5_home_minus_away,0.045425138,-0.045425138,single
20242025,away_back_to_back,0.0445936416,0.0445936416,single
20242025,delta_pregame_roster_turnover_count_home_minus_away,0.0443997602,-0.0443997602,single
20242025,delta_pregame_season_goal_diff_pg_home_minus_away,0.0401071339,0.0401071339,single
20242025,away_pregame_streak_signed,0.0378801836,-0.0378801836,single
20242025,home_four_in_six,0.0366995757,-0.0366995757,single
20242025,delta_pregame_last10_goal_diff_pg_home_minus_away,0.0365176414,0.0365176414,single
20242025,team_vs_opponent_games_prior_log,0.0364703396,0.0364703396,single
20242025,delta_pregame_goalie_days_since_last_start_home_minus_away,0.0353885033,-0.0353885033,single
20242025,delta_pregame_lineup_continuity_pct_home_minus_away,0.0352675559,0.0352675559,single
20242025,delta_travel_miles_home_minus_away,0.0342772474,0.0342772474,single
20252026,home_pregame_roster_data_coverage_pct,0.1807242026,0.1807242026,single
20252026,delta_home_stand_len_home_minus_away,0.1782046723,-0.1782046723,single
20252026,delta_prev_season_points_pct,0.1470323711,0.1470323711,single
20252026,home_pregame_roster_games_covered,0.1280572968,-0.1280572968,single
20252026,delta_pregame_recent_form_volatility_last5_home_minus_away,0.1039659048,-0.1039659048,single
20252026,delta_pregame_season_goal_diff_pg_home_minus_away,0.101137176,0.101137176,single
20252026,away_pregame_roster_data_coverage_pct,0.0921757572,-0.0921757572,single
20252026,away_back_to_back,0.0918144245,0.0918144245,single
20252026,delta_pregame_last10_goal_diff_pg_home_minus_away,0.0901344023,0.0901344023,single
20252026,delta_roster_games_covered,0.0867989542,-0.0867989542,single
20252026,delta_pregame_roster_turnover_count_home_minus_away,0.0828823288,-0.0828823288,single
20252026,delta_pregame_recent_form_adj_last5_home_minus_away,0.0818313772,-0.0818313772,single
20252026,home_four_in_six,0.0800137679,-0.0800137679,single
20252026,home_three_in_four,0.0795402026,0.0795402026,single
20252026,delta_pregame_depth_points_share_last5_home_minus_away,0.0695593397,-0.0695593397,single
20252026,home_location_edge_points_pct,0.0623316654,-0.0623316654,single
20252026,away_prior_prev_season_goal_diff_pg,0.0540189133,-0.0540189133,single
20252026,team_vs_opponent_games_prior_log,0.0537597714,0.0537597714,single
20252026,delta_pregame_lineup_continuity_pct_home_minus_away,0.0515812188,0.0515812188,single
20252026,away_prior_prev_season_points_pct,0.0507782951,-0.0507782951,single
