rank,recency_candidate_id,model_id,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style
1,single,blend_top2_validated__weighted_calibrated__nonlinear_tree,180,0.583333,0.683194,0.244982,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
2,single,blend_top2_fixed_65_35__weighted_calibrated__nonlinear_tree,180,0.583333,0.683487,0.24511,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
3,single,blend_top2_fixed_50_50__weighted_calibrated__nonlinear_tree,180,0.577778,0.683136,0.244959,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
4,single,blend_logistic_weighted_70_30,540,0.562963,0.670762,0.239495,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
5,single,logistic_engineered,540,0.562963,0.670895,0.239813,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
6,single,blend_top3_fixed_50_30_20__weighted_calibrated__nonlinear_tree__elo_form_tuned,180,0.561111,0.682515,0.244611,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
7,single,blend_logistic_weighted_60_40,540,0.557407,0.671875,0.239944,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
8,single,blend_nonlinear_logistic_50_50,540,0.555556,0.672261,0.239887,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
9,single,blend_top3_validated__nonlinear_tree__weighted_calibrated__logistic_engineered,180,0.55,0.667993,0.237844,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
10,single,blend_top3_fixed_50_30_20__logistic_engineered__nonlinear_tree__weighted_calibrated,180,0.55,0.678148,0.242887,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
11,single,blend_top3_validated__logistic_engineered__nonlinear_tree__weighted_calibrated,180,0.55,0.678148,0.242887,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
12,single,blend_top3_validated__weighted_calibrated__nonlinear_tree__elo_form_tuned,180,0.55,0.681961,0.244339,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
13,single,nonlinear_tree,540,0.546296,0.687068,0.246969,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
14,single,blend_top2_fixed_65_35__nonlinear_tree__weighted_calibrated,180,0.544444,0.685385,0.246204,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
15,single,weighted_calibrated_isotonic,540,0.538889,0.779785,0.251514,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
16,single,blend_nonlinear_weighted_60_40,540,0.535185,0.686368,0.246644,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
17,single,blend_top3_fixed_50_30_20__nonlinear_tree__weighted_calibrated__logistic_engineered,180,0.533333,0.674262,0.240803,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
18,single,blend_top2_validated__logistic_engineered__nonlinear_tree,180,0.533333,0.676503,0.242348,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
19,single,blend_top2_validated__nonlinear_tree__weighted_calibrated,180,0.533333,0.685336,0.246208,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
20,single,blend_top2_fixed_65_35__logistic_engineered__nonlinear_tree,180,0.527778,0.676516,0.242274,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
21,single,blend_top2_fixed_50_50__logistic_engineered__nonlinear_tree,180,0.527778,0.677364,0.242484,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
22,single,blend_top2_fixed_50_50__nonlinear_tree__weighted_calibrated,180,0.527778,0.685366,0.246239,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
23,single,weighted_calibrated,540,0.525926,0.689991,0.248453,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
24,single,weighted_calibrated_platt,540,0.525926,0.689991,0.248453,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
25,single,elo_form_tuned,540,0.518519,0.705624,0.255384,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
