rank,recency_candidate_id,model_id,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style
1,single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,1312,0.602896,0.660289,0.234005,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
2,single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,1312,0.602896,0.660289,0.234005,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
3,single,logistic_engineered,3936,0.590193,0.65929,0.233973,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
4,single,blend_nonlinear_logistic_50_50,3936,0.589431,0.66499,0.236256,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
5,single,blend_logistic_weighted_70_30,3936,0.589177,0.662673,0.235293,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
6,single,blend_logistic_weighted_60_40,3936,0.58562,0.664794,0.23622,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
7,single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,3936,0.58562,0.664974,0.236451,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
8,single,blend_top2_validated__logistic_engineered__elo_form_tuned,3936,0.585366,0.662373,0.235275,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
9,single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,3936,0.582571,0.661875,0.235034,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
10,single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__nonlinear_tree,2624,0.578887,0.66602,0.236939,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
11,single,blend_top3_validated__logistic_engineered__elo_form_tuned__nonlinear_tree,2624,0.578887,0.66602,0.236939,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
12,single,elo_form_tuned,3936,0.567073,0.684379,0.245339,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
13,single,nonlinear_tree,3936,0.5531,0.683355,0.245132,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
14,single,weighted_calibrated_isotonic,3936,0.549035,0.70447,0.247107,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
15,single,weighted_calibrated,3936,0.547256,0.698308,0.246901,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
16,single,weighted_calibrated_platt,3936,0.545986,0.686187,0.24653,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
17,single,blend_nonlinear_weighted_60_40,3936,0.543953,0.681887,0.24444,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
