policy,test_scope,season,train_start_season,train_end_season,train_games,games,accuracy,log_loss,brier_score,weighted_calibrator
all_prior_real,benchmark_window,20222023,20152016,20212022,7396,1312,0.589939,0.666925,0.237282,platt
all_prior_real,benchmark_window,20232024,20152016,20222023,8708,1312,0.583079,0.673272,0.240263,platt
all_prior_real,benchmark_window,20242025,20152016,20232024,10020,1312,0.568598,0.672836,0.240169,platt
all_prior_real,benchmark_window,20252026,20152016,20242025,11332,1312,0.53125,0.692289,0.249479,platt
recent_2021_forward,benchmark_window,20222023,20212022,20212022,1312,1312,0.580793,0.668882,0.238136,isotonic
recent_2021_forward,benchmark_window,20232024,20212022,20222023,2624,1312,0.582317,0.676568,0.241604,isotonic
recent_2021_forward,benchmark_window,20242025,20212022,20232024,3936,1312,0.58003,0.673254,0.240376,platt
recent_2021_forward,benchmark_window,20252026,20212022,20242025,5248,1312,0.532774,0.693107,0.249843,platt
all_prior_real_recency_weighted,benchmark_window,20222023,20152016,20212022,7396,1312,0.589177,0.667485,0.237551,platt
all_prior_real_recency_weighted,benchmark_window,20232024,20152016,20222023,8708,1312,0.58003,0.674021,0.240606,platt
all_prior_real_recency_weighted,benchmark_window,20242025,20152016,20232024,10020,1312,0.568598,0.673021,0.240257,platt
all_prior_real_recency_weighted,benchmark_window,20252026,20152016,20242025,11332,1312,0.53125,0.692356,0.249509,platt
all_prior_real,all_walk_forward,20162017,20152016,20152016,1230,1230,0.57561,0.678073,0.24253,isotonic
all_prior_real,all_walk_forward,20172018,20152016,20162017,2460,1271,0.593234,0.673209,0.240048,isotonic
all_prior_real,all_walk_forward,20182019,20152016,20172018,3731,1271,0.56491,0.683801,0.245337,platt
all_prior_real,all_walk_forward,20192020,20152016,20182019,5002,1082,0.529575,0.684691,0.245879,platt
all_prior_real,all_walk_forward,20212022,20152016,20192020,6084,1312,0.623476,0.656568,0.232056,platt
all_prior_real,all_walk_forward,20222023,20152016,20212022,7396,1312,0.589939,0.666925,0.237282,platt
all_prior_real,all_walk_forward,20232024,20152016,20222023,8708,1312,0.583079,0.673272,0.240263,platt
all_prior_real,all_walk_forward,20242025,20152016,20232024,10020,1312,0.568598,0.672836,0.240169,platt
all_prior_real,all_walk_forward,20252026,20152016,20242025,11332,1312,0.53125,0.692289,0.249479,platt
