season,season_label,regime,games_used_for_training,train_accuracy,train_log_loss,train_brier_score,weight_elo_form_tuned,weight_logistic_engineered,weight_weighted_calibrated_isotonic,weight_blend_logistic_weighted_70_30,is_synthetic,data_source
20172018,2017-2018,early,0,0.0,0.0,0.0,0.4,0.2,0.1,0.3,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
20172018,2017-2018,mid,2340,0.596154,0.688917,0.247817,0.1,0.5,0.4,0.0,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
20172018,2017-2018,late,4680,0.554487,0.693873,0.250305,0.1,0.1,0.2,0.6,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
20212022,2021-2022,early,2340,0.596154,0.688917,0.247817,0.1,0.5,0.4,0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20212022,2021-2022,mid,11240,0.576512,0.683746,0.245404,0.3,0.3,0.4,-0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20212022,2021-2022,late,20140,0.589623,0.678461,0.242737,0.3,0.3,0.4,-0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20222023,2022-2023,early,8900,0.593258,0.678658,0.242904,0.3,0.3,0.4,-0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20222023,2022-2023,mid,24360,0.582923,0.678441,0.242623,0.4,0.1,0.5,0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20222023,2022-2023,late,39820,0.590281,0.672694,0.239849,0.5,0.2,0.3,0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20232024,2023-2024,early,15460,0.586028,0.683013,0.244863,0.1,0.4,0.4,0.1,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20232024,2023-2024,mid,37480,0.584979,0.675076,0.241103,0.4,0.4,0.2,-0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20232024,2023-2024,late,59500,0.591681,0.670239,0.238792,0.4,0.3,0.1,0.2,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20242025,2024-2025,early,22020,0.58515,0.67711,0.242106,0.4,0.3,0.3,0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20242025,2024-2025,mid,50600,0.581522,0.672417,0.239899,0.4,0.3,0.1,0.2,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20242025,2024-2025,late,79180,0.593837,0.667851,0.237661,0.4,0.2,0.1,0.3,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20252026,2025-2026,early,28580,0.58205,0.675212,0.241245,0.4,0.3,0.3,0.0,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20252026,2025-2026,mid,63720,0.577134,0.674364,0.240865,0.4,0.0,0.0,0.6,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20252026,2025-2026,late,98860,0.593263,0.668276,0.237873,0.4,0.2,0.1,0.3,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
