model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.604421,0.659829,0.233776
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.602134,0.653535,0.231091
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.564024,0.672855,0.240217
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.608232,0.657016,0.232438
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.603659,0.650681,0.229875
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.570122,0.671158,0.239503
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.612805,0.650791,0.229545
logistic_engineered,20242025,2024-2025,1312,0.609756,0.64502,0.227741
logistic_engineered,20252026,2025-2026,1312,0.565549,0.669846,0.239195
weighted_calibrated,20232024,2023-2024,1312,0.553354,0.684652,0.245715
weighted_calibrated,20242025,2024-2025,1312,0.559451,0.680275,0.243692
weighted_calibrated,20252026,2025-2026,1312,0.527439,0.69523,0.25091
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.548018,0.721744,0.247106
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.689775,0.244158
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.522104,0.704204,0.251005
weighted_calibrated_platt,20232024,2023-2024,1312,0.553354,0.684652,0.245715
weighted_calibrated_platt,20242025,2024-2025,1312,0.559451,0.680275,0.243692
weighted_calibrated_platt,20252026,2025-2026,1312,0.527439,0.69523,0.25091
