model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.605945,0.659809,0.233767
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.603659,0.653186,0.230924
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.564024,0.672999,0.240228
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.606707,0.656993,0.232428
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.603659,0.650314,0.229702
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.567835,0.671199,0.239487
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.612805,0.650724,0.229517
logistic_engineered,20242025,2024-2025,1312,0.612043,0.644627,0.227562
logistic_engineered,20252026,2025-2026,1312,0.567835,0.669653,0.239101
weighted_calibrated,20232024,2023-2024,1312,0.554878,0.684555,0.245673
weighted_calibrated,20242025,2024-2025,1312,0.559451,0.680105,0.243612
weighted_calibrated,20252026,2025-2026,1312,0.522104,0.704428,0.251114
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.548018,0.721505,0.246997
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.689353,0.243995
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.522104,0.704428,0.251114
weighted_calibrated_platt,20232024,2023-2024,1312,0.554878,0.684555,0.245673
weighted_calibrated_platt,20242025,2024-2025,1312,0.559451,0.680105,0.243612
weighted_calibrated_platt,20252026,2025-2026,1312,0.526677,0.695125,0.250862
