model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.609756,0.658803,0.233308
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.604421,0.654987,0.231725
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.570122,0.673259,0.240387
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.609756,0.656043,0.232008
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.602134,0.652083,0.230464
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.56936,0.671629,0.239704
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.612805,0.650094,0.229292
logistic_engineered,20242025,2024-2025,1312,0.608232,0.645798,0.227986
logistic_engineered,20252026,2025-2026,1312,0.564024,0.670159,0.239371
weighted_calibrated,20232024,2023-2024,1312,0.550305,0.683593,0.245241
weighted_calibrated,20242025,2024-2025,1312,0.554878,0.680607,0.243851
weighted_calibrated,20252026,2025-2026,1312,0.532774,0.694361,0.250499
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.554116,0.719956,0.246352
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.689841,0.244227
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.536585,0.703613,0.25074
weighted_calibrated_platt,20232024,2023-2024,1312,0.550305,0.683593,0.245241
weighted_calibrated_platt,20242025,2024-2025,1312,0.554878,0.680607,0.243851
weighted_calibrated_platt,20252026,2025-2026,1312,0.532774,0.694361,0.250499
