model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.608232,0.658654,0.23323
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.599848,0.652858,0.230729
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.571646,0.672325,0.23996
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.612043,0.655862,0.231914
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.605183,0.649951,0.229487
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.56936,0.670833,0.239348
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.605183,0.6497,0.229104
logistic_engineered,20242025,2024-2025,1312,0.605945,0.644151,0.227281
logistic_engineered,20252026,2025-2026,1312,0.567073,0.670142,0.239383
weighted_calibrated,20232024,2023-2024,1312,0.549543,0.683301,0.245112
weighted_calibrated,20242025,2024-2025,1312,0.558689,0.679883,0.243506
weighted_calibrated,20252026,2025-2026,1312,0.525915,0.693644,0.250175
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.548018,0.71986,0.246253
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.554116,0.688778,0.243729
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.521341,0.702576,0.250219
weighted_calibrated_platt,20232024,2023-2024,1312,0.549543,0.683301,0.245112
weighted_calibrated_platt,20242025,2024-2025,1312,0.558689,0.679883,0.243506
weighted_calibrated_platt,20252026,2025-2026,1312,0.525915,0.693644,0.250175
