rank,recency_mode,model_id,games,accuracy,log_loss,brier_score
1,hybrid_exponential,logistic_engineered,3936,0.597561,0.655001,0.232060
2,game_exponential,logistic_engineered,3936,0.596037,0.655219,0.232160
3,season_exponential,blend_logistic_weighted_70_30,3936,0.595528,0.658882,0.233583
4,none,logistic_engineered,3936,0.595020,0.655350,0.232216
5,none,blend_logistic_weighted_60_40,3936,0.594766,0.662350,0.235140
6,game_exponential,blend_logistic_weighted_70_30,3936,0.594004,0.659618,0.233939
7,none,blend_logistic_weighted_70_30,3936,0.593750,0.659918,0.234059
8,season_exponential,blend_logistic_weighted_60_40,3936,0.593242,0.661279,0.234640
9,season_exponential,logistic_engineered,3936,0.592734,0.654664,0.231923
10,hybrid_exponential,blend_logistic_weighted_70_30,3936,0.592734,0.659502,0.233872
11,hybrid_exponential,blend_logistic_weighted_60_40,3936,0.591209,0.661998,0.234973
12,game_exponential,blend_logistic_weighted_60_40,3936,0.590193,0.662073,0.235028
13,game_exponential,elo_form_tuned,3936,0.567073,0.684379,0.245339
14,hybrid_exponential,elo_form_tuned,3936,0.567073,0.684379,0.245339
15,none,elo_form_tuned,3936,0.567073,0.684379,0.245339
16,season_exponential,elo_form_tuned,3936,0.567073,0.684379,0.245339
17,none,weighted_calibrated_isotonic,3936,0.549035,0.704470,0.247107
18,hybrid_exponential,weighted_calibrated_platt,3936,0.547002,0.686595,0.246716
19,game_exponential,weighted_calibrated,3936,0.546748,0.686719,0.246772
20,game_exponential,weighted_calibrated_platt,3936,0.546748,0.686719,0.246772
21,none,weighted_calibrated,3936,0.545986,0.686187,0.246530
22,none,weighted_calibrated_platt,3936,0.545986,0.686187,0.246530
23,hybrid_exponential,weighted_calibrated,3936,0.545478,0.689696,0.246800
24,season_exponential,weighted_calibrated,3936,0.544715,0.685609,0.246264
25,season_exponential,weighted_calibrated_platt,3936,0.544715,0.685609,0.246264
26,hybrid_exponential,weighted_calibrated_isotonic,3936,0.542175,0.705096,0.247369
27,game_exponential,weighted_calibrated_isotonic,3936,0.542175,0.705241,0.247423
28,season_exponential,weighted_calibrated_isotonic,3936,0.541159,0.703738,0.246734
