fold_test_season,feature,abs_weight,weight
20232024,delta_roster_games_covered,0.0879065906,-0.0879065906
20232024,delta_pregame_season_goal_diff_pg_home_minus_away,0.0833471633,0.0833471633
20232024,delta_pregame_season_points_pct_home_minus_away,0.0749628048,0.0749628048
20232024,delta_roster_coverage_pct,0.0695106257,0.0695106257
20232024,away_pregame_roster_data_coverage_pct,0.06027113,-0.06027113
20232024,home_back_to_back,0.0545639598,-0.0545639598
20232024,home_pregame_roster_games_covered,0.0498871841,-0.0498871841
20232024,home_location_edge_points_pct,0.049294914,0.049294914
20232024,away_back_to_back,0.0458477821,0.0458477821
20232024,delta_pregame_injury_count_home_minus_away,0.0421937245,-0.0421937245
20232024,away_pregame_roster_games_covered,0.0415711876,0.0415711876
20232024,home_pregame_roster_data_coverage_pct,0.0381013072,0.0381013072
20232024,matchup_home_win_rate_prior,0.0342350187,-0.0342350187
20232024,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0280432386,0.0280432386
20232024,away_prior_prev_season_goal_diff_pg,0.0279438015,-0.0279438015
20232024,home_pregame_streak_signed,0.0279089443,0.0279089443
20232024,home_prior_prev_season_goal_diff_pg,0.0278925282,0.0278925282
20232024,delta_pregame_last10_goal_diff_pg_home_minus_away,0.0263069319,0.0263069319
20232024,delta_pregame_last10_points_pct_home_minus_away,0.0244952944,0.0244952944
20232024,delta_pregame_skater_points_pg_last5_home_minus_away,0.0236443836,0.0236443836
20242025,delta_roster_games_covered,0.1040022521,-0.1040022521
20242025,delta_pregame_season_goal_diff_pg_home_minus_away,0.0945811926,0.0945811926
20242025,delta_roster_coverage_pct,0.0934631216,0.0934631216
20242025,delta_pregame_season_points_pct_home_minus_away,0.0716774624,0.0716774624
20242025,home_pregame_roster_games_covered,0.0686151041,-0.0686151041
20242025,away_pregame_roster_data_coverage_pct,0.0684862787,-0.0684862787
20242025,home_back_to_back,0.0549327138,-0.0549327138
20242025,away_pregame_roster_games_covered,0.0546113519,0.0546113519
20242025,home_pregame_roster_data_coverage_pct,0.0511116057,0.0511116057
20242025,delta_pregame_injury_count_home_minus_away,0.0492403026,-0.0492403026
20242025,delta_prev_season_points_pct,0.0448671256,0.0448671256
20242025,away_back_to_back,0.0442406711,0.0442406711
20242025,home_location_edge_points_pct,0.038796963,0.038796963
20242025,away_prior_prev_season_goal_diff_pg,0.034719345,-0.034719345
20242025,delta_prev_season_goal_diff_pg,0.0315663484,0.0315663484
20242025,delta_pregame_goalie_save_pct_home_minus_away,0.0314657962,-0.0314657962
20242025,delta_pregame_last10_goal_diff_pg_home_minus_away,0.0254303871,0.0254303871
20242025,home_prior_prev_season_goal_diff_pg,0.0213986077,0.0213986077
20242025,delta_pregame_roster_quality_idx_home_minus_away,0.0185246851,0.0185246851
20242025,rest_days_delta_home_minus_away,0.0174117085,0.0174117085
20252026,delta_pregame_season_goal_diff_pg_home_minus_away,0.175153044,0.175153044
20252026,delta_roster_games_covered,0.1266081862,-0.1266081862
20252026,home_pregame_roster_data_coverage_pct,0.1148603286,0.1148603286
20252026,delta_roster_coverage_pct,0.1057205311,0.1057205311
20252026,home_pregame_roster_games_covered,0.103667175,-0.103667175
20252026,away_pregame_roster_data_coverage_pct,0.0980196318,-0.0980196318
20252026,delta_pregame_injury_count_home_minus_away,0.0976355795,-0.0976355795
20252026,away_pregame_roster_games_covered,0.0762088935,0.0762088935
20252026,delta_pregame_season_points_pct_home_minus_away,0.0756688383,0.0756688383
20252026,delta_pregame_goalie_save_pct_home_minus_away,0.0679090147,-0.0679090147
20252026,delta_prev_season_points_pct,0.0672977092,0.0672977092
20252026,delta_pregame_last10_points_pct_home_minus_away,0.0671025634,-0.0671025634
20252026,home_back_to_back,0.0669484396,-0.0669484396
20252026,delta_prev_season_goal_diff_pg,0.0492636984,0.0492636984
20252026,away_back_to_back,0.0485551999,0.0485551999
20252026,away_prior_prev_season_points_pct,0.0418529864,-0.0418529864
20252026,matchup_home_games_prior_log,0.0415952324,0.0415952324
20252026,delta_pregame_roster_quality_idx_home_minus_away,0.0390393379,0.0390393379
20252026,home_prior_prev_season_goal_diff_pg,0.0353697072,0.0353697072
20252026,away_prior_prev_season_goal_diff_pg,0.0322191351,-0.0322191351
