model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.602896,0.661273,0.234513
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.596799,0.65687,0.232585
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.564024,0.674463,0.240976
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.606707,0.6588,0.233344
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.599085,0.654142,0.231384
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.563262,0.673066,0.240398
blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20232024,2023-2024,1312,0.603659,0.658001,0.232962
blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.594512,0.657726,0.233165
blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.556402,0.678646,0.24299
blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20232024,2023-2024,1312,0.605183,0.65545,0.231765
blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.598323,0.653808,0.231389
blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.560213,0.675114,0.241405
blend_top2_validated__logistic_engineered__elo_form_tuned,20232024,2023-2024,1312,0.603659,0.658001,0.232962
blend_top2_validated__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.596037,0.652698,0.230894
blend_top2_validated__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.559451,0.674241,0.241031
blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20232024,2023-2024,1312,0.605945,0.659336,0.233586
blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.60061,0.657593,0.233006
blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.565549,0.677002,0.242179
blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20232024,2023-2024,1312,0.604421,0.660174,0.233985
blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.60061,0.657593,0.233006
blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.565549,0.677002,0.242179
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.617378,0.653437,0.230898
logistic_engineered,20242025,2024-2025,1312,0.599085,0.648093,0.22894
logistic_engineered,20252026,2025-2026,1312,0.556402,0.67241,0.240396
weighted_calibrated,20232024,2023-2024,1312,0.550305,0.683593,0.245241
weighted_calibrated,20242025,2024-2025,1312,0.554878,0.680607,0.243851
weighted_calibrated,20252026,2025-2026,1312,0.532774,0.694361,0.250499
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.554116,0.719956,0.246352
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.689841,0.244227
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.536585,0.703613,0.25074
weighted_calibrated_platt,20232024,2023-2024,1312,0.550305,0.683593,0.245241
weighted_calibrated_platt,20242025,2024-2025,1312,0.554878,0.680607,0.243851
weighted_calibrated_platt,20252026,2025-2026,1312,0.532774,0.694361,0.250499
