recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one
single,blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.602896,0.663925,0.235805,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.605945,0.653452,0.230969,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.565549,0.677772,0.242525,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.601372,0.66186,0.234824,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.608232,0.650667,0.229741,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.560976,0.677273,0.242333,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_50_50__elo_form_tuned__logistic_engineered,20232024,2023-2024,1312,0.598323,0.660392,0.234108,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.603659,0.655234,0.231986,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.556402,0.680146,0.243663,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_65_35__elo_form_tuned__logistic_engineered,20232024,2023-2024,1312,0.602134,0.6633,0.235462,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.601372,0.650975,0.230042,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.55564,0.677982,0.242694,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_validated__elo_form_tuned__logistic_engineered,20232024,2023-2024,1312,0.598323,0.660392,0.234108,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_validated__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.602896,0.649789,0.22951,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_validated__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.554878,0.677671,0.242568,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_fixed_50_30_20__elo_form_tuned__logistic_engineered__weighted_calibrated,20232024,2023-2024,1312,0.602134,0.665007,0.236285,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.597561,0.654804,0.231687,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.557165,0.678932,0.243072,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_validated__elo_form_tuned__logistic_engineered__weighted_calibrated,20232024,2023-2024,1312,0.60061,0.664007,0.235817,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.597561,0.654804,0.231687,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.557165,0.678932,0.243072,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,20232024,2023-2024,1312,0.608994,0.658249,0.233126,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,20242025,2024-2025,1312,0.608232,0.645111,0.22753,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,20252026,2025-2026,1312,0.559451,0.680646,0.243867,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated,20232024,2023-2024,1312,0.55564,0.685436,0.24606,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
