feature,mean_abs_weight
delta_roster_games_covered,0.22445201
delta_roster_coverage_pct,0.18735292
delta_season_goal_diff_pg,0.17819781
delta_season_points_pct,0.12541532
home_back_to_back,0.08599061
quality_x_form,0.07612563
delta_roster_quality,0.07083933
goalie_x_continuity,0.06643079
delta_injuries,0.06628283
delta_goalie_save_pct,0.0633953
home_streak,0.05259684
away_back_to_back,0.05189941
delta_prev_season_points_pct,0.04456001
away_streak,0.03302873
delta_last10_points_pct,0.03274889
delta_prev_season_goal_diff_pg,0.02786919
roster_continuity_edge,0.02313724
delta_skater_points_last5,0.02229669
home_location_edge_points_pct,0.01815938
min_prev_season_games,0.01671399
rest_days_delta,0.01356754
delta_last10_goal_diff_pg,0.01329792
delta_skater_two_way_last5,0.01023973
