fold_test_season,fold_train_start_season,fold_train_end_season,recency_candidate_id,recency_selector_mode,recency_selector_regime,calibration_selector_mode,calibration_selector_view,calibration_selector_notes,calibration_selection_objective,calibration_objective_margin,calibration_validation_seasons,selection_fit_games,selection_validation_games,calibration_method,is_selected_method,accuracy,log_loss,brier_score
20172018,20152016,20162017,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20152016,20162017",938,938,isotonic,1,0.546908,0.688153,0.247509
20172018,20152016,20162017,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20152016,20162017",938,938,platt,0,0.527719,0.694552,0.250613
20212022,20152016,20172018,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20162017,20172018",470,936,isotonic,1,0.553419,0.688104,0.247482
20212022,20152016,20172018,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20162017,20172018",470,936,platt,0,0.537393,0.69073,0.248791
20222023,20152016,20212022,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20172018,20212022",938,1780,isotonic,1,0.57191,0.68397,0.245424
20222023,20152016,20212022,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20172018,20212022",938,1780,platt,0,0.551685,0.685496,0.246113
20232024,20152016,20222023,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20212022,20222023",1406,2624,isotonic,1,0.559451,0.689662,0.248007
20232024,20152016,20222023,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20212022,20222023",1406,2624,platt,0,0.549924,0.691915,0.249049
20242025,20152016,20232024,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20222023,20232024",2718,2624,isotonic,0,0.544588,0.693347,0.249902
20242025,20152016,20232024,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20222023,20232024",2718,2624,platt,1,0.538491,0.693281,0.249914
20252026,20152016,20242025,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20232024,20242025",4030,2624,isotonic,1,0.552973,0.689035,0.2479
20252026,20152016,20242025,single,static,static,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20232024,20242025",4030,2624,platt,0,0.536585,0.691067,0.248926
