fold_test_season,feature,abs_weight,weight,recency_candidate_id
20252026,delta_pregame_season_goal_diff_pg_home_minus_away,0.175153044,0.175153044,single
20252026,delta_roster_games_covered,0.1266081862,-0.1266081862,single
20252026,home_pregame_roster_data_coverage_pct,0.1148603286,0.1148603286,single
20252026,delta_roster_coverage_pct,0.1057205311,0.1057205311,single
20252026,home_pregame_roster_games_covered,0.103667175,-0.103667175,single
20252026,away_pregame_roster_data_coverage_pct,0.0980196318,-0.0980196318,single
20252026,delta_pregame_injury_count_home_minus_away,0.0976355795,-0.0976355795,single
20252026,away_pregame_roster_games_covered,0.0762088935,0.0762088935,single
20252026,delta_pregame_season_points_pct_home_minus_away,0.0756688383,0.0756688383,single
20252026,delta_pregame_goalie_save_pct_home_minus_away,0.0679090147,-0.0679090147,single
20252026,delta_prev_season_points_pct,0.0672977092,0.0672977092,single
20252026,delta_pregame_last10_points_pct_home_minus_away,0.0671025634,-0.0671025634,single
20252026,home_back_to_back,0.0669484396,-0.0669484396,single
20252026,delta_prev_season_goal_diff_pg,0.0492636984,0.0492636984,single
20252026,away_back_to_back,0.0485551999,0.0485551999,single
20252026,away_prior_prev_season_points_pct,0.0418529864,-0.0418529864,single
20252026,matchup_home_games_prior_log,0.0415952324,0.0415952324,single
20252026,delta_pregame_roster_quality_idx_home_minus_away,0.0390393379,0.0390393379,single
20252026,home_prior_prev_season_goal_diff_pg,0.0353697072,0.0353697072,single
20252026,away_prior_prev_season_goal_diff_pg,0.0322191351,-0.0322191351,single
