model_id,season,season_label,games,accuracy,log_loss,brier_score
blend_logistic_weighted_60_40,20232024,2023-2024,1312,0.605183,0.660227,0.233961
blend_logistic_weighted_60_40,20242025,2024-2025,1312,0.605945,0.652977,0.230839
blend_logistic_weighted_60_40,20252026,2025-2026,1312,0.561738,0.672762,0.240175
blend_logistic_weighted_70_30,20232024,2023-2024,1312,0.609756,0.657414,0.232621
blend_logistic_weighted_70_30,20242025,2024-2025,1312,0.602134,0.650129,0.229632
blend_logistic_weighted_70_30,20252026,2025-2026,1312,0.567835,0.67104,0.239449
elo_form_tuned,20232024,2023-2024,1312,0.587652,0.674602,0.240524
elo_form_tuned,20242025,2024-2025,1312,0.577744,0.67769,0.242226
elo_form_tuned,20252026,2025-2026,1312,0.535823,0.700845,0.253267
logistic_engineered,20232024,2023-2024,1312,0.612805,0.651158,0.229702
logistic_engineered,20242025,2024-2025,1312,0.612043,0.64464,0.227591
logistic_engineered,20252026,2025-2026,1312,0.566311,0.669731,0.239127
weighted_calibrated,20232024,2023-2024,1312,0.553354,0.684974,0.245857
weighted_calibrated,20242025,2024-2025,1312,0.559451,0.680107,0.243612
weighted_calibrated,20252026,2025-2026,1312,0.527439,0.695453,0.251016
weighted_calibrated_isotonic,20232024,2023-2024,1312,0.548018,0.722136,0.247269
weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.689645,0.244171
weighted_calibrated_isotonic,20252026,2025-2026,1312,0.522104,0.705188,0.25147
weighted_calibrated_platt,20232024,2023-2024,1312,0.553354,0.684974,0.245857
weighted_calibrated_platt,20242025,2024-2025,1312,0.559451,0.680107,0.243612
weighted_calibrated_platt,20252026,2025-2026,1312,0.527439,0.695453,0.251016
