fold_test_season,feature,abs_weight,weight,recency_candidate_id
20172018,delta_pregame_depth_points_share_last5_home_minus_away,0.0723825644,-0.0723825644,single
20172018,team_vs_opponent_games_prior_log,0.0572912246,0.0572912246,single
20172018,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.041902671,-0.041902671,single
20172018,delta_pregame_goalie_save_pct_home_minus_away,0.0383796298,0.0383796298,single
20172018,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0377016765,0.0377016765,single
20172018,delta_pregame_injury_count_home_minus_away,0.0303592461,0.0303592461,single
20172018,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.027049288,-0.027049288,single
20172018,delta_pregame_roster_quality_idx_home_minus_away,0.0253375134,0.0253375134,single
20172018,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0240745215,-0.0240745215,single
20172018,matchup_home_games_prior_log,0.0206148498,0.0206148498,single
20172018,delta_pregame_skater_points_pg_last5_home_minus_away,0.0191173193,-0.0191173193,single
20172018,delta_pregame_key_contributor_continuity_pct_home_minus_away,0.0183347297,0.0183347297,single
20172018,delta_pregame_goalie_recent_starts_last5_home_minus_away,0.0182835273,-0.0182835273,single
20172018,delta_pregame_top9_points_pg_home_minus_away,0.0173717144,-0.0173717144,single
20172018,delta_pregame_lineup_change_rate_last5_home_minus_away,0.0162680546,0.0162680546,single
20172018,away_pregame_roster_data_coverage_pct,0.0153051239,0.0153051239,single
20172018,away_pregame_roster_games_covered,0.0153051239,0.0153051239,single
20172018,home_pregame_roster_data_coverage_pct,0.0111592366,-0.0111592366,single
20172018,home_pregame_roster_games_covered,0.0111592366,-0.0111592366,single
20172018,delta_pregame_lineup_continuity_pct_home_minus_away,0.0109912424,0.0109912424,single
20212022,delta_pregame_goalie_shots_against_pg_trend_home_minus_away,0.0484082564,-0.0484082564,single
20212022,matchup_home_win_rate_prior,0.0349945326,0.0349945326,single
20212022,delta_pregame_goalie_save_pct_home_minus_away,0.0331570957,0.0331570957,single
20212022,delta_pregame_roster_quality_idx_home_minus_away,0.0320408953,0.0320408953,single
20212022,delta_pregame_depth_points_share_last5_home_minus_away,0.028340407,-0.028340407,single
20212022,team_vs_opponent_win_rate_prior,0.0249350041,0.0249350041,single
20212022,delta_pregame_skater_points_pg_last5_home_minus_away,0.023256821,-0.023256821,single
20212022,home_pregame_roster_data_coverage_pct,0.0230198984,-0.0230198984,single
20212022,home_pregame_roster_games_covered,0.0230198984,-0.0230198984,single
20212022,matchup_home_games_prior_log,0.0202594673,0.0202594673,single
20212022,away_pregame_roster_data_coverage_pct,0.0194692479,0.0194692479,single
20212022,away_pregame_roster_games_covered,0.0194692479,0.0194692479,single
20212022,delta_pregame_recent_form_volatility_last5_home_minus_away,0.0188650414,-0.0188650414,single
20212022,delta_pregame_special_teams_contributor_share_last5_home_minus_away,0.0168431647,0.0168431647,single
20212022,team_vs_opponent_games_prior_log,0.0142177805,-0.0142177805,single
20212022,delta_pregame_skater_two_way_idx_last5_home_minus_away,0.0137076463,-0.0137076463,single
20212022,delta_pregame_top9_points_pg_home_minus_away,0.0136541406,-0.0136541406,single
20212022,delta_pregame_goalie_recent_starts_last5_home_minus_away,0.0125069871,-0.0125069871,single
20212022,delta_pregame_injury_count_home_minus_away,0.0110726263,-0.0110726263,single
20212022,delta_roster_coverage_pct,0.0093738875,-0.0093738875,single
20222023,delta_roster_games_covered,0.1424847053,-0.1424847053,single
20222023,delta_roster_coverage_pct,0.073929949,0.073929949,single
